metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
health-and-life-are-up;-sickness-and-death-are-down,He came down with the flu.,['down'],"- He: NO (pronoun, basic meaning is the same)
- came down: YES (phrasal verb, more basic meaning refers to descending)
- with: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-event,Pearl Harbor still has an effect on our foreign policy.,['Pearl Harbor'],"- Pearl: NO (noun, basic meaning is the same)
- Harbor: YES (noun, more basic meaning refers to a place of safety for ships)
- still: NO (adverb, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- effect: YES (noun, more basic meaning refers to a change produced by an action or a cause)
- on: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- foreign: NO (adjective, basic meaning is the same)
- policy: NO (noun, basic meaning is the same)",1,0,1,1.0,1.0
high-status-is-up;-low-status-is-down,He has a little upward mobility.,['upward'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- little: YES (adjective, more basic meaning refers to size or quantity)
- upward: YES (adjective, more basic meaning refers to direction)
- mobility: NO (noun, basic meaning is the same)",1,1,1,1.0,1.0
identifying-causes,He did it out of anger.,['anger'],"- He: NO (pronoun, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- out: YES (preposition, more basic meaning refers to a direction or movement away from a place)
- of: NO (preposition, basic meaning is the same)
- anger: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
life-is-a-gambling-game,That's my ace in the hole.,['ace in the hole'],"- That's: NO (pronoun, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- ace: YES (noun, more basic meaning refers to a playing card with a single pip)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- hole: YES (noun, more basic meaning refers to an opening or hollow space)",1,1,0,,
setting-goals-and-motivating-actions,I'm changing my way of life so that I can find true happiness.,['find true happiness'],"- I'm: NO (contraction of ""I am,"" basic meaning is the same)
- changing: YES (verb, more basic meaning refers to making or becoming different)
- my: NO (possessive pronoun, basic meaning is the same)
- way: YES (noun, more basic meaning refers to a path or route)
- of: NO (preposition, basic meaning is the same)
- life: YES (noun, more basic meaning refers to the existence of a living being)
- so: NO (conjunction, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- can: NO (verb, basic meaning is the same)
- find: YES (verb, more basic meaning refers to discovering or locating)
- true: NO (adjective, basic meaning is the same)
- happiness: YES (noun, more basic meaning refers to the state of being happy)",1,1,1,1.0,1.0
identifying-causes,The pressure of his responsibilities caused his breakdown.,['pressure of his responsibilities'],"- The: NO (definite article, basic meaning is the same)
- pressure: YES (noun, more basic meaning refers to physical force or weight)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- responsibilities: YES (noun, more basic meaning refers to duties or tasks)
- caused: YES (verb, more basic meaning refers to making something happen)
- his: NO (possessive pronoun, basic meaning is the same)
- breakdown: YES (noun, more basic meaning refers to a mechanical failure or collapse)",1,0,1,0.0,1.0
love-is-war,He enlisted the aid of her friends.,['enlisted the aid'],"- He: NO (pronoun, basic meaning is the same)
- enlisted: YES (verb, more basic meaning refers to joining the military)
- the: NO (definite article, basic meaning is the same)
- aid: YES (noun, more basic meaning refers to help or support)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- friends: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
activities-are-containers,"Outside of washing the windows, what else did you do?",['Outside of'],"- Outside: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning something with water)
- the: NO (definite article, basic meaning is the same)
- windows: YES (noun, more basic meaning refers to a transparent opening in a wall to let light in)",0,0,1,0.0,1.0
life-is-a-container,Live your life to the fullest.,['to the fullest'],"- Live: NO (verb, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- life: NO (noun, basic meaning is the same)
- to the fullest: NO (idiomatic expression, basic meaning is the same)",0,0,0,,
life-is-a-gambling-game,He's bluffing.,['bluffing'],"- He's: NO (pronoun, basic meaning is the same)
- bluffing: NO (verb, basic meaning is the same)",0,0,0,,
ideas-are-fashions,That's an outdated idea.,['outdated'],"- That's: NO (pronoun, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- outdated: NO (adjective, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)",0,0,0,,
the-mind-is-a-brittle-object,He broke under cross-examination.,['broke'],"- He: NO (pronoun, basic meaning is the same)
- broke: YES (verb, more basic meaning refers to physically breaking something)
- under: NO (preposition, basic meaning is the same)
- cross-examination: NO (noun, basic meaning is the same)",1,1,0,,
love-is-war,He made an ally of her mother.,['made an ally'],"- He: NO (pronoun, basic meaning is the same)
- made: YES (verb, more basic meaning refers to creating or producing something)
- an: NO (article, basic meaning is the same)
- ally: YES (noun, more basic meaning refers to a person or group that is united with another for a common purpose)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- mother: NO (noun, basic meaning is the same)",1,0,1,1.0,0.0
ideas-are-plants,It will take years for that idea to come to full flower.,['come to full flower'],"- It: NO (pronoun, basic meaning is the same)
- will: NO (verb, basic meaning is the same)
- take: YES (verb, more basic meaning refers to physically grabbing or holding something)
- years: NO (noun, basic meaning is the same)
- for: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- come: YES (verb, more basic meaning refers to physically moving towards a place)
- full: NO (adjective, basic meaning is the same)
- flower: YES (noun, more basic meaning refers to the reproductive structure found in plants)",1,1,1,1.0,1.0
happy-is-up;-sad-is-down,That boosted my spirits.,['boosted'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- boosted: YES (verb, more basic meaning refers to lifting or raising something physically)
- my: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to alcoholic beverages)",1,1,1,1.0,1.0
wealth-is-a-hidden-object,He's flaunting his new-found wealth.,['new-found'],"- He's: NO (pronoun, basic meaning is the same)
- flaunting: YES (verb, more basic meaning refers to showing off or displaying in a conspicuous way)
- his: NO (possessive pronoun, basic meaning is the same)
- new-found: YES (adjective, more basic meaning refers to something recently discovered or acquired)
- wealth: NO (noun, basic meaning is the same)",1,0,1,0.0,1.0
having-control-or-force-is-up;-being-subject-to-control-or-force-is-down,He fell from power.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping to a lower position)
- from: NO (preposition, basic meaning is the same)
- power: NO (noun, basic meaning is the same)",1,1,0,,
happy-is-up;-sad-is-down,I'm depressed.,['depressed'],"- I'm: NO (contraction of ""I am,"" basic meaning is the same)
- depressed: NO (adjective, basic meaning is the same)",0,0,0,,
love-is-a-patient,This is a sick relationship.,['sick'],"- This: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- sick: YES (adjective, more basic meaning refers to physical illness)
- relationship: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-event,Remember the Alamo.,['the Alamo'],"- Remember: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- Alamo: NO (noun, basic meaning is the same)",0,0,0,,
visual-fields-are-containers,There's nothing in sight.,['nothing in'],"- There's: NO (contraction, basic meaning is the same)
- nothing: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- sight: YES (noun, more basic meaning refers to the ability to see)",0,0,1,0.0,0.0
states-as-containers,He finally emerged from the catatonic state he had been in since the end of finals week.,"['emerged from', 'in']","- He: NO (pronoun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- emerged: YES (verb, more basic meaning refers to coming out or appearing)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- catatonic: YES (adjective, more basic meaning refers to a state of immobility or stupor)
- state: NO (noun, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- had: NO (verb, basic meaning is the same)
- been: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- since: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: YES (noun, more basic meaning refers to the final part of something)
- of: NO (preposition, basic meaning is the same)
- finals: YES (noun, more basic meaning refers to the last exams in a series)
- week: YES (noun, more basic meaning refers to a period of seven days)",0,0,1,0.0,1.0
an-argument-is-a-container,Your argument won't hold water.,"[""won't hold water""]","- Your: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- won't: NO (contraction of ""will not,"" basic meaning is the same)
- hold water: YES (idiomatic expression, more basic meaning refers to something being able to contain liquid)",1,1,0,,
the-part-for-the-whole,There are a lot of good heads in the university.,['good heads'],"- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- heads: YES (noun, more basic meaning refers to the physical body part) 
- in: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- university: NO (noun, basic meaning is the same)",1,1,0,,
visual-fields-are-containers,That's in the center of my field of vision.,"['in', 'center', 'field']","- That's: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- center: YES (noun, more basic meaning refers to the middle point)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- field: YES (noun, more basic meaning refers to an area of land)
- vision: NO (noun, basic meaning is the same)",0,0,0,,
love-is-a-journey,Our marriage is on the rocks.,['on the rocks'],"- Our: NO (possessive pronoun, basic meaning is the same)
- marriage: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- rocks: YES (noun, more basic meaning refers to large, hard masses of mineral material)",1,1,0,,
personification,This fact argues against the standard theories.,['fact argues'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- fact: NO (noun, basic meaning is the same)
- argues: YES (verb, more basic meaning refers to presenting reasons or evidence in support of something)
- against: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- standard: YES (adjective, more basic meaning refers to something used as a basis of comparison)
- theories: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
life-is-a-gambling-game,I think we should stand pat.,['stand pat'],"- I: NO (pronoun, basic meaning is the same)
- think: NO (verb, basic meaning is the same)
- we: NO (pronoun, basic meaning is the same)
- should: NO (modal verb, basic meaning is the same)
- stand pat: YES (verb phrase, more basic meaning refers to staying in the same position or maintaining the status quo)",1,0,0,,
activities-are-containers,How did you get into window-washing as a profession?,['get into'],"- How: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or acquiring something)
- into: NO (preposition, basic meaning is the same)
- window-washing: YES (noun, more basic meaning refers to the act of cleaning windows)
- as: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- profession: NO (noun, basic meaning is the same)",1,1,0,,
argument-is-war,I've never won an argument with him.,['won'],"- I've: NO (contraction, basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- won: YES (verb, more basic meaning refers to achieving victory in a competition or game)
- an: NO (indefinite article, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)",1,1,0,,
object-used-for-user,The sax has the flu today.,['sax'],"- The: NO (article, basic meaning is the same)
- sax: YES (noun, more basic meaning refers to a musical instrument)
- has: NO (verb, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- flu: YES (noun, more basic meaning refers to a viral infection)",1,1,1,0.0,1.0
