metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
personification,Inflation has outwitted the best economic minds in the country.,['has outwitted'],"- Inflation: NO (noun, basic meaning refers to the process of inflating or being inflated, which is quite abstract and not more concrete than its economic sense)
- has: NO (auxiliary verb, basic meaning is the same)
- outwitted: YES (verb, more basic meaning refers to defeating someone in a situation requiring cunning or intelligence, typically used in more concrete scenarios like games or personal interactions)
- the: NO (definite article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- economic: NO (adjective, basic meaning is the same)
- minds: YES (noun, more basic meaning refers to the physical brain or the faculty of consciousness and thought, as opposed to abstract intellectual capacities)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- country: NO (noun, basic meaning is the same)",1,1,1,1.0,1.0
ideas-are-commodities,"What to do when it first provides a good basic meaning, if not the one suggested by L&K, but then states the metaphorical meaning?",['give a plugged nickel'],"- I: NO (pronoun, basic meaning is the same)
- wouldn't: NO (contraction of would not, basic meaning is the same)
- give: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- plugged: YES (adjective, more basic meaning refers to sealing or blocking a hole)
- nickel: NO (noun, basic meaning is the same)
- for: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
personification,The Michelson-Morley experiment gave birth to a new physical theory.,['Michelson-Morley experiment gave birth to'],"- The: NO (definite article, basic meaning is the same)
- Michelson-Morley: NO (proper noun, specific to the context)
- experiment: NO (noun, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to physically handing something to someone)
- birth: YES (noun, more basic meaning refers to the act of being born)
- to: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- physical: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
inflation-is-an-entity,Inflation makes me sick.,['Inflation makes me sick'],"- Inflation: YES (noun, more basic meaning refers to the physical act of inflating something)
- makes: NO (verb, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- sick: NO (adjective, basic meaning is the same)",1,1,0,,
love-is-madness,I'm crazy about her.,['crazy'],"- I'm: NO (contraction of ""I am,"" basic meaning is the same)
- crazy: YES (adjective, more basic meaning refers to being mentally ill)
- about: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)",1,1,0,,
life-is-a-container,Get the most out of life.,['Get the most out of'],"- Get: NO (verb, basic meaning is to obtain or acquire, which is similar in this context)
- the: NO (definite article, basic meaning is the same)
- most: NO (adjective, basic meaning is the greatest in amount or degree, similar in this context)
- out: YES (preposition, more basic meaning refers to moving from inside to outside)
- of: NO (preposition, basic meaning is the same)
- life: NO (noun, basic meaning is the existence of an individual human or animal, which is similar in this context)",1,1,0,,
virtue-is-up;-depravity-is-down,She has high standards.,['high'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical elevation or altitude)
- standards: YES (noun, more basic meaning refers to flags or banners used as emblems)",1,1,1,1.0,1.0
love-is-a-patient,"They have a strong, healthy marriage.","['strong, healthy']","- They: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- strong: NO (adjective, basic meaning refers to physical strength)
- healthy: NO (adjective, basic meaning refers to good health)
- marriage: NO (noun, basic meaning is the same)",0,0,0,,
health-and-life-are-up;-sickness-and-death-are-down,He came down with the flu.,['down'],"- He: NO (pronoun, basic meaning is the same)
- came: NO (verb, basic meaning is to move towards something)
- down: YES (adverb, more basic meaning refers to a direction, specifically moving from a higher place to a lower one)
- with: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-event,Pearl Harbor still has an effect on our foreign policy.,['Pearl Harbor'],"- Pearl: YES (noun, more basic meaning refers to a hard, shiny object produced within the soft tissue of a living shelled mollusk)
- Harbor: NO (noun, basic meaning is the same, a place on the coast where ships may moor in shelter)
- still: NO (adverb, basic meaning is the same, meaning continuing until now or the time mentioned)
- has: NO (verb, basic meaning is the same, possessive form of 'have')
- an: NO (indefinite article, basic meaning is the same)
- effect: YES (noun, more basic meaning refers to a change which is a result or consequence of an action or other cause, but here it is used in a more abstract sense related to influence on policy)
- on: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- foreign: NO (adjective, basic meaning is the same, of, from, in, or characteristic of a country or language other than one's own)
- policy: NO (noun, basic meaning is the same, a course or principle of action adopted or proposed by an organization or individual)",0,0,1,1.0,1.0
high-status-is-up;-low-status-is-down,He has a little upward mobility.,['upward'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- little: NO (adjective, basic meaning is the same)
- upward: YES (adjective, more basic meaning refers to a direction, e.g., ""upward climb"")
- mobility: YES (noun, more basic meaning refers to the ability to move physically)",1,1,1,1.0,1.0
identifying-causes,He did it out of anger.,['anger'],"- He: NO (pronoun, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- anger: NO (noun, basic meaning is the same)",0,0,0,,
life-is-a-gambling-game,That's my ace in the hole.,['ace in the hole'],"- That's: NO (contraction of ""that is"", basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- ace: YES (noun, more basic meaning refers to a playing card with a single spot)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- hole: NO (noun, basic meaning is the same)",1,1,0,,
setting-goals-and-motivating-actions,I'm changing my way of life so that I can find true happiness.,['find true happiness'],"- I'm: NO (contraction of ""I am"", basic meaning is the same)
- changing: YES (verb, more basic meaning refers to making something different, usually in a tangible or visible way)
- my: NO (possessive pronoun, basic meaning is the same)
- way: YES (noun, more basic meaning refers to a road or path)
- of: NO (preposition, basic meaning is the same)
- life: NO (noun, basic meaning is the same)
- so: NO (conjunction, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- can: NO (modal verb, basic meaning is the same)
- find: NO (verb, basic meaning is the same)
- true: NO (adjective, basic meaning is the same)
- happiness: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
identifying-causes,The pressure of his responsibilities caused his breakdown.,['pressure of his responsibilities'],"- The: NO (definite article, basic meaning is the same)
- pressure: YES (noun, more basic meaning refers to physical force exerted on or against an object)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- responsibilities: NO (noun, basic meaning is the same)
- caused: NO (verb, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- breakdown: YES (noun, more basic meaning refers to a failure of a mechanical system)",0,0,1,1.0,1.0
love-is-war,He enlisted the aid of her friends.,['enlisted the aid'],"- He: NO (pronoun, basic meaning is the same)
- enlisted: YES (verb, more basic meaning refers to joining the military)
- the: NO (definite article, basic meaning is the same)
- aid: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- friends: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,"Outside of washing the windows, what else did you do?",['Outside of'],"""Outside of washing the windows, what else did you do?""

- Outside: YES (noun/adjective/preposition, more basic meaning refers to the external part or area of something)
- of: NO (preposition, basic meaning is the same)
- washing: NO (noun, basic meaning refers to the act of cleaning)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning refers to the openings in a wall or door fitted with glass)
- what: NO (pronoun, basic meaning is the same)
- else: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- do: NO (verb, basic meaning is the same)",1,1,0,,
life-is-a-container,Live your life to the fullest.,['to the fullest'],"- Live: YES (verb, more basic meaning refers to being alive or existing)
- your: NO (possessive pronoun, basic meaning is the same)
- life: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- fullest: YES (adjective, more basic meaning refers to being filled to capacity)",1,1,1,0.0,1.0
life-is-a-gambling-game,He's bluffing.,['bluffing'],"""He's bluffing.""
- He's: NO (contraction of ""he is"", basic meaning is the same)
- bluffing: YES (verb, more basic meaning refers to making a steep cliff or having a broad, flattened front)",1,1,0,,
ideas-are-fashions,That's an outdated idea.,['outdated'],"- That's: NO (contraction of ""that is"", basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- outdated: YES (adjective, more basic meaning refers to something like food or a product being past its expiration date)
- idea: NO (noun, basic meaning is the same)",1,0,0,,
the-mind-is-a-brittle-object,He broke under cross-examination.,['broke'],"- He: NO (pronoun, basic meaning is the same)
- broke: YES (verb, more basic meaning refers to physically breaking something)
- under: NO (preposition, basic meaning is the same)
- cross-examination: NO (noun, basic meaning is the same)",1,1,0,,
love-is-war,He made an ally of her mother.,['made an ally'],"- He: NO (pronoun, basic meaning is the same)
- made: NO (verb, basic meaning is to create or construct, which is similar in abstraction)
- an: NO (indefinite article, basic meaning is the same)
- ally: YES (noun, more basic meaning refers to forming a military or political alliance, which is more specific and concrete)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- mother: NO (noun, basic meaning is the same)",1,1,0,,
ideas-are-plants,It will take years for that idea to come to full flower.,['come to full flower'],"- It: NO (pronoun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- take: YES (verb, more basic meaning refers to physically grasping or carrying something)
- years: NO (noun, basic meaning is the same)
- for: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- come: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- full: NO (adjective, basic meaning is the same)
- flower: YES (noun, more basic meaning refers to the reproductive structure of a plant)",1,1,1,1.0,1.0
happy-is-up;-sad-is-down,That boosted my spirits.,['boosted'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- boosted: YES (verb, more basic meaning refers to physically pushing something upwards)
- my: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to a type of alcoholic beverage or a supernatural being)",1,1,1,1.0,1.0
wealth-is-a-hidden-object,He's flaunting his new-found wealth.,['new-found'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- flaunting: YES (verb, more basic meaning refers to displaying something ostentatiously, often used for physical items)
- his: NO (possessive pronoun, basic meaning is the same)
- new-found: NO (adjective, basic meaning is the same)
- wealth: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
having-control-or-force-is-up;-being-subject-to-control-or-force-is-down,He fell from power.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or collapsing)
- from: NO (preposition, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or energy)",1,1,1,1.0,1.0
happy-is-up;-sad-is-down,I'm depressed.,['depressed'],"- I: NO (pronoun, basic meaning is the same)
- 'm: NO (contraction of ""am"", verb, basic meaning is the same)
- depressed: YES (adjective, more basic meaning refers to physically pressing something down)",1,1,0,,
love-is-a-patient,This is a sick relationship.,['sick'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- sick: YES (adjective, more basic meaning refers to physical illness)
- relationship: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-event,Remember the Alamo.,['the Alamo'],"""Remember the Alamo.""

- Remember: NO (verb, basic meaning is to recall from memory, which is the same in this context)
- the: NO (definite article, basic meaning is the same)
- Alamo: NO (proper noun, refers specifically to the historical site, which is its basic meaning)",0,0,0,,
visual-fields-are-containers,There's nothing in sight.,['nothing in'],"- There's: NO (contraction of ""there is"", basic meaning is the same)
- nothing: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- sight: NO (noun, basic meaning is the same)",0,0,0,,
states-as-containers,He finally emerged from the catatonic state he had been in since the end of finals week.,"['emerged from', 'in']","- He: NO (pronoun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- emerged: NO (verb, basic meaning is to come out from a place or situation)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- catatonic: YES (adjective, more basic meaning refers to a medical condition characterized by stupor)
- state: YES (noun, more basic meaning refers to a condition of being, but here it is used metaphorically to describe a mental condition)
- he: NO (pronoun, basic meaning is the same)
- had: NO (auxiliary verb, basic meaning is the same)
- been: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- since: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- finals: YES (noun, more basic meaning refers to the last exams in a course, but here it is used to denote a specific time period)
- week: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
an-argument-is-a-container,Your argument won't hold water.,"[""won't hold water""]","- Your: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- won't: NO (contraction of will not, basic meaning is the same)
- hold: YES (verb, more basic meaning refers to physically grasping or containing something)
- water: NO (noun, basic meaning is the same)",1,1,0,,
the-part-for-the-whole,There are a lot of good heads in the university.,['good heads'],"- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- heads: YES (noun, more basic meaning refers to the part of the body)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- university: NO (noun, basic meaning is the same)",1,1,0,,
visual-fields-are-containers,That's in the center of my field of vision.,"['in', 'center', 'field']","- That's: NO (contraction of ""that is"", basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- center: YES (noun, more basic meaning refers to the middle point of a physical space)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- field: YES (noun, more basic meaning refers to an area of open land, especially one planted with crops or pasture)
- of: NO (preposition, basic meaning is the same)
- vision: YES (noun, more basic meaning refers to the faculty or state of being able to see)",0,0,1,0.0,1.0
love-is-a-journey,Our marriage is on the rocks.,['on the rocks'],"- Our: NO (possessive pronoun, basic meaning is the same)
- marriage: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- rocks: YES (noun, more basic meaning refers to solid mineral material forming part of the surface of the earth and other similar planets, observed directly as a mass of stone)",1,1,0,,
personification,This fact argues against the standard theories.,['fact argues'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- fact: NO (noun, basic meaning is the same)
- argues: YES (verb, more basic meaning refers to people presenting reasons in speech or writing)
- against: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- standard: NO (adjective, basic meaning is the same)
- theories: NO (noun, basic meaning is the same)",1,1,0,,
life-is-a-gambling-game,I think we should stand pat.,['stand pat'],"- I: NO (pronoun, basic meaning is the same)
- think: NO (verb, basic meaning is the same)
- we: NO (pronoun, basic meaning is the same)
- should: NO (modal verb, basic meaning is the same)
- stand: NO (verb, basic meaning is the same)
- pat: YES (noun/adjective, more basic meaning refers to a small, flat lump of something or a light touch)",1,0,0,,
activities-are-containers,How did you get into window-washing as a profession?,['get into'],"- How: NO (adverb, basic meaning is the same)
- did: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to physically obtaining or receiving something)
- into: NO (preposition, basic meaning is the same)
- window-washing: NO (noun, basic meaning is the same)
- as: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- profession: NO (noun, basic meaning is the same)",1,1,0,,
argument-is-war,I've never won an argument with him.,['won'],"- I've: NO (contraction of ""I have"", basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- won: YES (verb, more basic meaning refers to winning a game or competition)
- an: NO (indefinite article, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)",1,1,0,,
object-used-for-user,The sax has the flu today.,['sax'],"- The: NO (definite article, basic meaning is the same)
- sax: NO (noun, short for saxophone, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, short for influenza, basic meaning is the same)
- today: NO (noun/adverb, basic meaning is the same)",0,0,0,,
